pips,entry_time,exit_time,reason
13.300000000000534,2025-04-03 10:17:00+00:00,2025-04-03 10:31:00+00:00,mean
16.200000000000657,2025-04-03 10:18:00+00:00,2025-04-03 10:31:00+00:00,mean
15.700000000000713,2025-04-03 10:20:00+00:00,2025-04-03 10:31:00+00:00,mean
9.899999999999354,2025-04-03 10:43:00+00:00,2025-04-03 10:59:00+00:00,mean
9.500000000000064,2025-04-03 10:48:00+00:00,2025-04-03 10:59:00+00:00,mean
10.300000000000864,2025-04-03 11:16:00+00:00,2025-04-03 11:21:00+00:00,mean
14.300000000000423,2025-04-03 11:39:00+00:00,2025-04-03 11:41:00+00:00,mean
3.7000000000009248,2025-04-03 11:46:00+00:00,2025-04-03 12:09:00+00:00,mean
3.9000000000000146,2025-04-03 11:47:00+00:00,2025-04-03 12:09:00+00:00,mean
1.60000000000049,2025-04-03 11:48:00+00:00,2025-04-03 12:09:00+00:00,mean
3.1000000000003247,2025-04-03 11:49:00+00:00,2025-04-03 12:09:00+00:00,mean
4.6000000000001595,2025-04-03 11:53:00+00:00,2025-04-03 12:09:00+00:00,mean
16.39999999999975,2025-04-03 13:28:00+00:00,2025-04-03 13:40:00+00:00,mean
8.299999999999974,2025-04-03 13:33:00+00:00,2025-04-03 13:40:00+00:00,mean
-10.000000000000009,2025-04-03 15:22:00+00:00,2025-04-03 15:24:00+00:00,stop
-10.000000000000009,2025-04-03 15:23:00+00:00,2025-04-03 15:25:00+00:00,stop
-10.000000000000009,2025-04-03 15:24:00+00:00,2025-04-03 15:26:00+00:00,stop
-10.000000000000009,2025-04-03 15:25:00+00:00,2025-04-03 15:26:00+00:00,stop
-10.000000000000009,2025-04-03 15:26:00+00:00,2025-04-03 15:27:00+00:00,stop
-10.000000000000009,2025-04-03 15:29:00+00:00,2025-04-03 15:34:00+00:00,stop
-10.000000000000009,2025-04-03 15:27:00+00:00,2025-04-03 15:39:00+00:00,stop
-10.000000000000009,2025-04-03 15:30:00+00:00,2025-04-03 15:39:00+00:00,stop
8.40000000000063,2025-04-03 15:33:00+00:00,2025-04-03 15:51:00+00:00,mean
9.500000000000064,2025-04-03 15:50:00+00:00,2025-04-03 15:51:00+00:00,mean
5.7000000000007045,2025-04-03 16:13:00+00:00,2025-04-03 16:40:00+00:00,mean
7.500000000000284,2025-04-03 16:19:00+00:00,2025-04-03 16:40:00+00:00,mean
10.700000000000154,2025-04-03 17:40:00+00:00,2025-04-03 18:00:00+00:00,mean
12.400000000000189,2025-04-03 21:02:00+00:00,2025-04-03 21:04:00+00:00,mean
7.700000000000484,2025-04-03 21:14:00+00:00,2025-04-03 21:19:00+00:00,mean
-0.8999999999992347,2025-04-04 07:43:00+00:00,2025-04-04 08:12:00+00:00,mean
0.40000000000040004,2025-04-04 07:46:00+00:00,2025-04-04 08:12:00+00:00,mean
1.7000000000000348,2025-04-04 07:53:00+00:00,2025-04-04 08:12:00+00:00,mean
4.100000000000215,2025-04-04 07:56:00+00:00,2025-04-04 08:12:00+00:00,mean
5.20000000000076,2025-04-04 07:57:00+00:00,2025-04-04 08:12:00+00:00,mean
8.00000000000023,2025-04-04 09:16:00+00:00,2025-04-04 09:25:00+00:00,mean
8.299999999999974,2025-04-04 10:03:00+00:00,2025-04-04 10:10:00+00:00,mean
10.600000000000609,2025-04-04 10:06:00+00:00,2025-04-04 10:10:00+00:00,mean
-10.000000000000009,2025-04-04 10:19:00+00:00,2025-04-04 10:27:00+00:00,stop
6.500000000000394,2025-04-04 11:57:00+00:00,2025-04-04 12:07:00+00:00,mean
-10.000000000000009,2025-04-04 12:36:00+00:00,2025-04-04 12:50:00+00:00,stop
-10.000000000000009,2025-04-04 12:45:00+00:00,2025-04-04 12:51:00+00:00,stop
0.20000000000020002,2025-04-04 12:37:00+00:00,2025-04-04 13:06:00+00:00,mean
0.2999999999997449,2025-04-04 12:44:00+00:00,2025-04-04 13:06:00+00:00,mean
0.9999999999998899,2025-04-04 12:48:00+00:00,2025-04-04 13:06:00+00:00,mean
8.599999999999719,2025-04-04 12:50:00+00:00,2025-04-04 13:06:00+00:00,mean
8.500000000000174,2025-04-04 12:51:00+00:00,2025-04-04 13:06:00+00:00,mean
7.500000000000284,2025-04-04 13:18:00+00:00,2025-04-04 13:26:00+00:00,mean
6.599999999999939,2025-04-04 13:19:00+00:00,2025-04-04 13:26:00+00:00,mean
-1.3999999999991797,2025-04-04 14:09:00+00:00,2025-04-04 14:34:00+00:00,mean
0.30000000000085514,2025-04-04 14:10:00+00:00,2025-04-04 14:34:00+00:00,mean
3.4000000000000696,2025-04-04 14:12:00+00:00,2025-04-04 14:34:00+00:00,mean
4.700000000000815,2025-04-04 14:13:00+00:00,2025-04-04 14:34:00+00:00,mean
5.800000000000249,2025-04-04 14:14:00+00:00,2025-04-04 14:34:00+00:00,mean
9.000000000000119,2025-04-04 14:49:00+00:00,2025-04-04 14:57:00+00:00,mean
8.40000000000063,2025-04-04 14:50:00+00:00,2025-04-04 14:57:00+00:00,mean
0.6000000000006,2025-04-04 16:25:00+00:00,2025-04-04 16:51:00+00:00,mean
0.0,2025-04-04 16:26:00+00:00,2025-04-04 16:51:00+00:00,mean
1.60000000000049,2025-04-04 16:27:00+00:00,2025-04-04 16:51:00+00:00,mean
1.4999999999998348,2025-04-04 16:28:00+00:00,2025-04-04 16:51:00+00:00,mean
4.1999999999997595,2025-04-04 17:10:00+00:00,2025-04-04 17:31:00+00:00,mean
5.600000000000049,2025-04-04 17:11:00+00:00,2025-04-04 17:31:00+00:00,mean
10.400000000000409,2025-04-04 17:12:00+00:00,2025-04-04 17:31:00+00:00,mean
6.300000000000194,2025-04-04 17:13:00+00:00,2025-04-04 17:31:00+00:00,mean
-10.000000000000009,2025-04-04 17:57:00+00:00,2025-04-04 18:02:00+00:00,stop
-10.000000000000009,2025-04-04 17:58:00+00:00,2025-04-04 18:02:00+00:00,stop
4.00000000000067,2025-04-04 17:59:00+00:00,2025-04-04 18:14:00+00:00,mean
6.800000000000139,2025-04-04 18:00:00+00:00,2025-04-04 18:14:00+00:00,mean
9.400000000000519,2025-04-04 18:01:00+00:00,2025-04-04 18:14:00+00:00,mean
9.299999999999864,2025-04-04 18:02:00+00:00,2025-04-04 18:14:00+00:00,mean
7.700000000000484,2025-04-04 18:03:00+00:00,2025-04-04 18:14:00+00:00,mean
6.000000000000449,2025-04-04 19:52:00+00:00,2025-04-04 20:02:00+00:00,mean
-10.000000000000009,2025-04-04 20:58:00+00:00,2025-04-06 21:00:00+00:00,stop
-10.000000000000009,2025-04-06 21:00:00+00:00,2025-04-06 21:09:00+00:00,stop
2.100000000000435,2025-04-06 21:03:00+00:00,2025-04-06 21:27:00+00:00,mean
2.6999999999999247,2025-04-06 21:04:00+00:00,2025-04-06 21:27:00+00:00,mean
2.60000000000038,2025-04-06 21:05:00+00:00,2025-04-06 21:27:00+00:00,mean
3.9999999999995595,2025-04-06 21:06:00+00:00,2025-04-06 21:27:00+00:00,mean
5.199999999999649,2025-04-06 21:10:00+00:00,2025-04-06 21:27:00+00:00,mean
-10.000000000000009,2025-04-06 21:35:00+00:00,2025-04-06 21:55:00+00:00,stop
-10.000000000000009,2025-04-06 21:43:00+00:00,2025-04-06 21:55:00+00:00,stop
-10.000000000000009,2025-04-06 21:44:00+00:00,2025-04-06 21:55:00+00:00,stop
-10.000000000000009,2025-04-06 21:49:00+00:00,2025-04-06 21:55:00+00:00,stop
-10.000000000000009,2025-04-06 21:59:00+00:00,2025-04-06 22:00:00+00:00,stop
-10.000000000000009,2025-04-06 22:10:00+00:00,2025-04-06 22:16:00+00:00,stop
-10.000000000000009,2025-04-06 22:11:00+00:00,2025-04-06 22:16:00+00:00,stop
-10.000000000000009,2025-04-06 23:49:00+00:00,2025-04-06 23:53:00+00:00,stop
-10.000000000000009,2025-04-06 23:50:00+00:00,2025-04-06 23:53:00+00:00,stop
-10.000000000000009,2025-04-06 23:51:00+00:00,2025-04-07 00:01:00+00:00,stop
-10.000000000000009,2025-04-06 23:53:00+00:00,2025-04-07 00:03:00+00:00,stop
-10.000000000000009,2025-04-06 23:56:00+00:00,2025-04-07 00:03:00+00:00,stop
-10.000000000000009,2025-04-06 23:54:00+00:00,2025-04-07 00:10:00+00:00,stop
