ts,layer,side,pips
2025-03-03 08:12:00+00:00,1,long,8.076333333333352
2025-03-03 08:13:00+00:00,1,long,7.573333333332766
2025-03-03 08:19:00+00:00,1,long,6.350666666666838
2025-03-03 09:13:00+00:00,1,long,8.659999999999224
2025-03-03 09:24:00+00:00,1,long,5.929666666666389
2025-03-03 10:53:00+00:00,1,long,8.443333333333358
2025-03-03 12:19:00+00:00,1,long,6.886666666666708
2025-03-03 14:39:00+00:00,1,long,7.603333333332518
2025-03-03 15:56:00+00:00,1,long,5.869999999998932
2025-03-03 15:57:00+00:00,1,long,5.859999999999754
2025-03-03 16:30:00+00:00,1,short,
2025-03-03 16:31:00+00:00,1,short,
2025-03-03 16:32:00+00:00,1,short,
2025-03-03 16:33:00+00:00,1,short,
2025-03-03 16:34:00+00:00,1,short,
2025-03-03 16:35:00+00:00,1,short,
2025-03-03 16:36:00+00:00,1,short,
2025-03-03 16:37:00+00:00,1,short,
2025-03-03 16:38:00+00:00,1,short,
2025-03-03 16:39:00+00:00,1,short,
2025-03-03 16:40:00+00:00,1,short,
2025-03-03 16:41:00+00:00,1,short,
2025-03-03 16:42:00+00:00,1,short,
2025-03-03 16:43:00+00:00,1,short,
2025-03-03 16:44:00+00:00,1,short,
2025-03-03 16:45:00+00:00,1,short,
2025-03-03 16:46:00+00:00,1,short,
2025-03-03 16:47:00+00:00,1,short,
2025-03-03 16:48:00+00:00,1,short,
2025-03-03 16:49:00+00:00,1,short,
2025-03-03 16:50:00+00:00,1,short,
2025-03-03 16:51:00+00:00,1,short,
2025-03-03 16:52:00+00:00,1,short,
2025-03-03 16:53:00+00:00,1,short,
2025-03-03 16:54:00+00:00,1,short,
2025-03-03 16:55:00+00:00,1,short,
2025-03-03 16:56:00+00:00,1,short,
2025-03-03 16:57:00+00:00,1,short,
2025-03-03 16:58:00+00:00,1,short,
2025-03-04 09:38:00+00:00,1,long,8.20000000000043
2025-03-04 11:03:00+00:00,1,long,7.494333333332159
2025-03-04 11:42:00+00:00,1,long,8.75666666666608
2025-03-04 12:40:00+00:00,1,long,9.220000000000894
2025-03-04 13:32:00+00:00,1,long,10.106666666666042
2025-03-04 14:34:00+00:00,1,long,8.957333333332596
2025-03-04 15:15:00+00:00,1,long,7.87666666666631
2025-03-04 15:17:00+00:00,1,long,7.1866666666664525
2025-03-04 15:18:00+00:00,1,long,6.926666666666748
2025-03-04 15:19:00+00:00,1,long,8.59333333333323
2025-03-04 15:20:00+00:00,1,long,10.219999999999674
2025-03-04 15:21:00+00:00,1,long,8.489999999999887
2025-03-04 15:22:00+00:00,1,long,8.296666666667285
2025-03-04 15:30:00+00:00,1,long,7.313333333333061
2025-03-04 15:57:00+00:00,1,short,6.696666666665685
2025-03-04 15:58:00+00:00,1,short,7.513333333334371
2025-03-04 15:59:00+00:00,1,short,6.639999999999979
2025-03-04 16:47:00+00:00,1,long,7.205999999999602
2025-03-04 16:58:00+00:00,1,long,10.291666666667476
2025-03-04 16:30:00+00:00,1,short,
2025-03-04 16:31:00+00:00,1,short,
2025-03-04 16:32:00+00:00,1,short,
2025-03-04 16:33:00+00:00,1,short,
2025-03-04 16:34:00+00:00,1,short,
2025-03-04 16:35:00+00:00,1,short,
2025-03-04 16:36:00+00:00,1,short,
2025-03-04 16:37:00+00:00,1,short,
2025-03-04 16:38:00+00:00,1,short,
2025-03-04 16:39:00+00:00,1,short,
2025-03-04 16:40:00+00:00,1,short,
2025-03-04 16:41:00+00:00,1,short,
2025-03-04 16:42:00+00:00,1,short,
2025-03-04 16:43:00+00:00,1,short,
2025-03-04 16:44:00+00:00,1,short,
2025-03-04 16:45:00+00:00,1,short,
2025-03-04 16:46:00+00:00,1,short,
2025-03-04 16:47:00+00:00,1,short,
2025-03-04 16:48:00+00:00,1,short,
2025-03-04 16:49:00+00:00,1,short,
2025-03-04 16:50:00+00:00,1,short,
2025-03-04 16:51:00+00:00,1,short,
2025-03-04 16:52:00+00:00,1,short,
2025-03-04 16:53:00+00:00,1,short,
2025-03-04 16:54:00+00:00,1,short,
2025-03-04 16:55:00+00:00,1,short,
2025-03-04 16:56:00+00:00,1,short,
2025-03-04 16:57:00+00:00,1,short,
2025-03-04 16:58:00+00:00,1,short,
2025-03-05 11:09:00+00:00,1,long,-0.7999999999996898
2025-03-05 11:10:00+00:00,1,long,1.3999999999991797
2025-03-05 11:11:00+00:00,1,long,0.900000000000345
2025-03-05 11:12:00+00:00,1,long,-0.49999999999994493
2025-03-05 11:13:00+00:00,1,long,0.700000000000145
2025-03-05 11:14:00+00:00,1,long,0.0
2025-03-05 11:15:00+00:00,1,long,2.1700000000002273
2025-03-05 11:16:00+00:00,1,long,1.60000000000049
2025-03-05 11:17:00+00:00,1,long,2.9000000000001247
2025-03-05 11:18:00+00:00,1,long,0.22999999999995246
2025-03-05 11:23:00+00:00,1,long,6.071000000000826
2025-03-05 11:24:00+00:00,1,long,7.244333333332742
2025-03-05 11:25:00+00:00,1,long,6.338666666666493
2025-03-05 11:26:00+00:00,1,long,7.175333333332423
2025-03-05 15:14:00+00:00,1,long,10.413333333333386
2025-03-05 15:15:00+00:00,1,long,7.613333333333916
2025-03-05 15:17:00+00:00,1,long,0.700000000000145
2025-03-05 15:23:00+00:00,1,long,6.319999999999659
2025-03-05 15:24:00+00:00,1,long,6.933333333333236
2025-03-05 15:25:00+00:00,1,long,6.829999999999892
2025-03-05 15:26:00+00:00,1,long,6.273333333332021
2025-03-05 16:30:00+00:00,1,short,
2025-03-05 16:31:00+00:00,1,short,
2025-03-05 16:32:00+00:00,1,short,
2025-03-05 16:33:00+00:00,1,short,
2025-03-05 16:34:00+00:00,1,short,
2025-03-05 16:35:00+00:00,1,short,
2025-03-05 16:36:00+00:00,1,short,
2025-03-05 16:37:00+00:00,1,short,
2025-03-05 16:38:00+00:00,1,short,
2025-03-05 16:39:00+00:00,1,short,
2025-03-05 16:40:00+00:00,1,short,
2025-03-05 16:41:00+00:00,1,short,
